"Kitchen" "Laundry" "AirSystem" "DayUsage" "NightUsage" "Calls" "Age" "Payment" "Region1" "Region2" "Region3" "X15oMenos" "X16_30" "X31_Mas" "kmm$cluster"
0.205555382 -0.860887589 1.047847298 0.84664693 -1.130491358 0.848645559 -2.065960549 0 0 0 1 1 0 0 5
0.385158162 -0.2851023 0.823292552 1.108079961 -1.130491358 -0.260695041 -1.658493353 0 0 1 0 0 1 0 5
0.205555382 -0.993761117 1.047847298 0.690204292 -1.020724259 0.848645559 -1.760360152 0 0 0 1 0 1 0 5
0.834165112 -0.905178765 0.074776731 0.723578721 -1.167080391 -0.260695041 -1.454759756 0 0 0 1 0 1 0 5
0.205555382 -0.816596413 1.12269888 0.890219102 -1.130491358 -0.260695041 -0.741692163 0 0 1 0 0 1 0 5
1.193370672 -0.949469941 1.12269888 0.764137924 -0.80119006 -0.260695041 -1.96409375 0 1 0 0 1 0 0 5
1.193370672 -0.728014061 0.074776731 0.586836267 -0.80119006 0.848645559 -1.862226951 0 0 0 1 1 0 0 5
-0.063848788 -0.2851023 0.673589388 0.730068194 -0.874368126 -0.260695041 -1.454759756 0 1 0 0 0 1 0 5
1.103569282 -0.50655818 0.449034641 0.99775893 -1.057313292 -0.260695041 -1.149159359 0 1 0 0 0 1 0 5
1.013767892 -0.417975828 0.224479895 0.856381139 -0.947546192 0.848645559 -2.065960549 0 0 0 1 1 0 0 5
0.205555382 -0.50655818 0.898144134 0.750231912 -0.874368126 0.848645559 -0.741692163 0 0 1 0 0 1 0 5
1.193370672 -0.550849356 0.224479895 0.803074758 -0.910957159 -0.260695041 -1.454759756 0 1 0 0 0 1 0 5
-0.153650178 -0.728014061 0.449034641 0.592630439 -1.057313292 -0.260695041 -0.945425761 0 0 0 1 0 1 0 5
0.205555382 -0.728014061 0.898144134 0.774567433 -1.020724259 0.848645559 -0.741692163 0 1 0 0 0 1 0 5
1.283172062 -0.860887589 0.449034641 0.965775102 -1.167080391 -0.260695041 -1.251026158 0 0 0 1 0 1 0 5
1.013767892 -0.728014061 1.12269888 1.027656856 -1.020724259 0.848645559 -0.537958565 0 0 1 0 0 1 0 5
0.385158162 -0.683722885 0.972995716 0.665637004 -0.80119006 0.848645559 -1.454759756 0 0 0 1 0 1 0 5
0.744363722 -0.639431709 0.374183059 0.701097335 -0.910957159 -0.260695041 -0.639825364 0 0 1 0 0 1 0 5
0.115753992 -0.683722885 0.972995716 0.921739396 -1.167080391 -0.260695041 -0.639825364 0 0 0 1 0 1 0 5
0.205555382 -0.816596413 -7.49e-05 0.563427813 -1.130491358 -0.260695041 -0.537958565 0 0 1 0 0 1 0 5
1.103569282 -0.373684652 1.197550463 1.165789912 -0.947546192 -0.260695041 -1.04729256 0 0 1 0 0 1 0 5
0.654562332 -0.240811124 0.673589388 0.877240157 -0.837779093 0.848645559 -1.556626554 0 0 0 1 0 1 0 5
0.115753992 -0.816596413 0.823292552 0.659842832 -0.984135225 -0.260695041 -1.454759756 0 1 0 0 0 1 0 5
0.564760942 -0.949469941 1.12269888 0.816749004 -1.020724259 -0.260695041 -1.149159359 0 0 1 0 0 1 0 5
0.205555382 -0.2851023 0.374183059 0.901807445 -1.093902325 -0.260695041 -0.843558962 0 1 0 0 0 1 0 5
0.474959552 -0.772305237 0.149628313 0.517537973 -0.910957159 0.848645559 -1.862226951 0 1 0 0 1 0 0 5
-0.153650178 -0.329393476 0.374183059 0.609085887 -0.874368126 -0.260695041 -1.556626554 0 1 0 0 0 1 0 5
0.654562332 -0.550849356 0.898144134 0.830886783 -0.874368126 0.848645559 -2.065960549 0 0 0 1 1 0 0 5
0.474959552 -0.816596413 1.12269888 0.923361764 -1.093902325 -0.260695041 -1.251026158 0 0 1 0 0 1 0 5
0.564760942 -0.728014061 0.374183059 0.588922169 -0.874368126 0.848645559 -1.454759756 0 1 0 0 0 1 0 5
0.474959552 -0.417975828 -7.49e-05 0.763210856 -1.057313292 0.848645559 -0.639825364 0 0 0 1 0 1 0 5
1.013767892 -0.462267004 0.74844097 1.014446145 -0.984135225 -0.260695041 -0.436091766 0 1 0 0 0 1 0 5
0.654562332 -0.728014061 0.898144134 0.71778455 -0.837779093 0.848645559 -0.741692163 0 1 0 0 0 1 0 5
0.564760942 -0.373684652 1.197550463 1.147016795 -1.057313292 0.848645559 -1.862226951 0 0 0 1 1 0 0 5
1.193370672 -0.595140532 0.074776731 0.773872132 -0.947546192 0.848645559 -1.149159359 0 0 0 1 0 1 0 5
1.013767892 -0.2851023 0.374183059 1.027656856 -1.020724259 -0.260695041 -1.96409375 0 1 0 0 1 0 0 5
0.385158162 -0.816596413 0.149628313 0.650572157 -1.130491358 0.848645559 -1.149159359 0 1 0 0 0 1 0 5
1.283172062 -0.639431709 0.823292552 1.117350636 -1.093902325 -0.260695041 -1.760360152 0 1 0 0 0 1 0 5
0.474959552 -0.329393476 0.673589388 0.830886783 -0.874368126 0.848645559 -0.537958565 0 0 0 1 0 1 0 5
0.564760942 -0.50655818 0.224479895 0.711990378 -0.947546192 0.848645559 -1.352892957 0 0 0 1 0 1 0 5
0.025952602 -0.462267004 1.197550463 0.910151053 -0.984135225 0.848645559 -1.251026158 0 1 0 0 0 1 0 5
0.385158162 -0.949469941 1.12269888 0.743278905 -0.984135225 -0.260695041 -1.149159359 0 0 0 1 0 1 0 5
1.103569282 -0.595140532 0.149628313 0.965775102 -1.167080391 -0.260695041 -1.454759756 0 0 1 0 0 1 0 5
0.205555382 -0.550849356 0.74844097 0.784996942 -0.984135225 -0.260695041 -0.436091766 0 1 0 0 0 1 0 5
1.013767892 -0.462267004 0.74844097 1.048747642 -1.020724259 -0.260695041 -1.96409375 0 0 1 0 1 0 0 5
1.103569282 -0.50655818 0.149628313 0.977363445 -1.130491358 -0.260695041 -1.04729256 0 0 0 1 0 1 0 5
0.744363722 -0.373684652 0.449034641 1.075864366 -1.167080391 -0.260695041 -1.96409375 0 0 1 0 1 0 0 5
0.654562332 -0.772305237 0.972995716 0.847573998 -0.984135225 -0.260695041 -1.454759756 0 0 0 1 0 1 0 5
0.564760942 -0.240811124 0.898144134 1.056164182 -0.984135225 -0.260695041 -0.741692163 0 0 0 1 0 1 0 5
0.025952602 -0.772305237 0.74844097 0.51846504 -0.837779093 -0.260695041 -0.843558962 0 0 0 1 0 1 0 5
0.474959552 -0.993761117 0.74844097 0.51846504 -0.837779093 -0.260695041 -0.741692163 0 0 0 1 0 1 0 5
0.923966502 -0.240811124 0.374183059 0.959517396 -0.947546192 -0.260695041 -1.862226951 0 1 0 0 1 0 0 5
0.654562332 -0.373684652 0.972995716 0.897172108 -0.837779093 -0.260695041 -0.741692163 0 0 1 0 0 1 0 5
0.744363722 -0.772305237 0.224479895 0.659842832 -0.984135225 -0.260695041 -1.96409375 0 0 0 1 1 0 0 5
0.115753992 -0.329393476 0.74844097 0.933791274 -1.057313292 -0.260695041 -0.741692163 0 1 0 0 0 1 0 5
0.115753992 -0.550849356 0.598737806 0.691363126 -0.947546192 -0.260695041 -1.658493353 0 0 0 1 0 1 0 5
